Sl. No,Change ID,Event Number,Timestamp,Impacted CIs,Description of change,Planned duration (Min),Change Category,Change Type,CI Category,CI Subcategory,CI Classification,Approval required,Is Approved,Is downtime required,Is restart required,Actual Duration,Change Status,Remarks
1,CH0000801,,2024-08-13 00:11:28,Cloud HSM,Version upgrade,39,Normal,Major,Systems,Server,Cloud HSM,Yes,4 out of 5,Yes,Yes,35,implemented and closed,Change is succesfully implemented and closed
2,CH0000802,,2024-10-27 02:34:14,VPN Nat Gateway,Configuration changes,39,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,5 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
3,CH0000803,,2024-11-04 00:00:30,"Web Application 01, Web Application 02",Configuration changes,65,Normal,Medium,Systems,Server,Web Application 02,Yes,4 out of 5,No,No,68,implemented and closed,Change is succesfully implemented and closed
4,CH0000804,,2024-07-02 11:56:29,Bastion Host,Access permissions,75,Normal,Medium,Systems,Server,Bastion Host,Yes,5 out of 5,No,No,74,implemented and closed,Change is succesfully implemented and closed
5,CH0000805,,2024-08-09 07:32:27,"Direct Connect, VPN Nat Gateway, Web Application Firewall",Access permissions,33,Normal,Medium,Systems,Server,VPN Nat Gateway,Yes,3 out of 5,No,No,29,implemented and closed,Change is succesfully implemented and closed
6,CH0000806,,2024-10-15 01:28:50,Bastion Host,Add New requirements / Features,91,Normal,Major,Systems,Server,Bastion Host,Yes,3 out of 5,Yes,Yes,84,implemented and closed,Change is succesfully implemented and closed
7,CH0000807,,2024-11-07 19:48:54,S3 Bucket,Version upgrade,37,Normal,Major,Systems,Server,S3 Bucket,Yes,5 out of 5,Yes,Yes,45,implemented and closed,Change is succesfully implemented and closed
8,CH0000808,,2024-02-22 23:54:14,"Bastion Host, Route 53",Configuration changes,31,Normal,Medium,Systems,Server,Route 53,Yes,5 out of 5,No,No,35,Rolled back,post implementation checks failed
9,CH0000809,,2024-02-01 03:13:20,Bastion Host,Configuration changes,61,Normal,Medium,Systems,Server,Bastion Host,Yes,4 out of 5,No,No,54,implemented and closed,Change is succesfully implemented and closed
10,CH0000810,,2025-01-01 20:39:05,S3 Bucket,Configuration changes,45,Normal,Medium,Systems,Server,S3 Bucket,Yes,3 out of 5,No,No,50,implemented and closed,Change is succesfully implemented and closed
11,CH0000811,,2025-01-12 09:38:54,IAM Role,Access permissions,40,Normal,Medium,Systems,Server,IAM Role,Yes,3 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
12,CH0000812,,2024-08-29 08:08:20,Cloudwatch,Access permissions,38,Normal,Medium,Systems,Server,Cloudwatch,Yes,3 out of 5,No,No,48,Rolled back,post implementation checks failed
13,CH0000813,,2024-02-13 23:26:30,Web Application 01,Configuration changes,67,Normal,Medium,Systems,Server,Web Application 01,Yes,3 out of 5,No,No,67,implemented and closed,Change is succesfully implemented and closed
14,CH0000814,,2024-12-20 14:56:37,Web Application Firewall,Version upgrade,40,Normal,Major,Systems,Server,Web Application Firewall,Yes,3 out of 5,Yes,Yes,33,implemented and closed,Change is succesfully implemented and closed
15,CH0000815,,2024-10-01 20:31:33,Application Load Balancer,Version upgrade,38,Normal,Major,Systems,Server,Application Load Balancer,Yes,5 out of 5,Yes,Yes,40,implemented and closed,Change is succesfully implemented and closed
16,CH0000816,,2024-04-07 23:17:58,Role,Configuration changes,32,Normal,Medium,Systems,Server,Role,Yes,5 out of 5,No,No,31,implemented and closed,Change is succesfully implemented and closed
17,CH0000817,,2024-04-28 12:51:28,Role,Add New requirements / Features,67,Normal,Major,Systems,Server,Role,Yes,3 out of 5,Yes,Yes,72,implemented and closed,Change is succesfully implemented and closed
